number,winrate,activation_threshold,adv_vwap_std_thr,adx_thresh,allow_long,allow_short,close_position,cmf_thresh,enable_breakeven,lookback_minutes,max_pct,min_pct,min_trend_duration,min_trend_strength,momentum_thresh,obs_direction,observation_hours,rsi_buy,rsi_exit_ob,rsi_exit_os,rsi_sell,sl_std,tp1,tp2,tp3,tp_std,trailing_distance,use_adv_vwap,use_adx,use_bb,use_cmf,use_macd,use_momentum,use_obv,use_standard_sl_tp,use_vwap,loss_count,total_pnl,trade_count,win_count,state,datetime_start,datetime_complete,duration_seconds
80,0.500000,,3.000000,35.000000,True,True,False,0.400000,,3690,33.500000,0.500000,8,2.600000,0.024000,minus,24,57.000000,93.000000,2.000000,25.000000,0.120000,,,,0.257000,,True,False,True,True,True,False,True,True,False,9.000000,-5.022281,18.000000,9.000000,COMPLETE,2025-04-27 18:34:38.766981,2025-04-27 18:34:40.695403,1.928422
1,0.465347,0.500000,2.000000,9.000000,True,False,True,-0.500000,True,1020,18.600000,10.100000,11,1.400000,0.028500,both,54,54.000000,95.000000,39.000000,33.000000,,0.800000,8.500000,14.900000,,5.210000,False,True,False,False,True,False,False,False,True,54.000000,-3.260932,101.000000,47.000000,COMPLETE,2025-04-27 18:31:30.451701,2025-04-27 18:31:32.222483,1.770782
26,0.419087,,2.200000,50.000000,True,True,False,0.500000,,2520,23.400000,1.900000,14,1.000000,0.008500,plus,30,72.000000,92.000000,17.000000,31.000000,0.150000,,,,0.120000,,False,False,False,False,True,True,False,True,False,140.000000,10.351772,241.000000,101.000000,COMPLETE,2025-04-27 18:32:13.853226,2025-04-27 18:32:15.600064,1.746838
20,0.389831,0.100000,2.200000,54.000000,True,True,False,-0.200000,True,1770,53.800000,6.300000,15,4.100000,0.002500,plus,15,69.000000,81.000000,2.000000,30.000000,,1.600000,4.000000,6.100000,,2.910000,True,False,True,True,True,False,True,False,False,36.000000,-5.341812,59.000000,23.000000,COMPLETE,2025-04-27 18:32:04.472106,2025-04-27 18:32:05.791542,1.319436
2,0.389831,,1.200000,14.000000,True,True,False,0.050000,,2370,48.700000,14.200000,2,5.000000,0.017500,minus,41,95.000000,63.000000,2.000000,16.000000,0.012000,,,,0.022000,,False,False,True,True,False,True,True,True,True,36.000000,0.669740,59.000000,23.000000,COMPLETE,2025-04-27 18:31:32.648484,2025-04-27 18:31:33.566356,0.917872
48,0.370370,3.400000,0.500000,58.000000,True,True,False,-0.350000,True,3870,44.400000,12.900000,14,1.100000,0.010500,plus,1,79.000000,92.000000,4.000000,23.000000,,3.300000,4.400000,13.900000,,2.010000,True,True,True,True,False,False,True,False,False,68.000000,-19.177907,108.000000,40.000000,COMPLETE,2025-04-27 18:32:55.724588,2025-04-27 18:32:57.462144,1.737556
57,0.336634,,2.600000,30.000000,True,True,False,0.050000,,960,52.400000,1.900000,15,1.600000,0.005500,plus,12,74.000000,80.000000,28.000000,7.000000,0.044000,,,,0.084000,,True,False,True,True,True,False,True,True,False,67.000000,6.172264,101.000000,34.000000,COMPLETE,2025-04-27 18:33:22.934501,2025-04-27 18:33:26.147204,3.212703
35,0.333333,3.500000,2.500000,52.000000,True,True,False,0.150000,True,3150,13.400000,3.400000,14,3.900000,0.015500,plus,46,53.000000,81.000000,24.000000,27.000000,,2.600000,4.000000,5.400000,,3.210000,True,True,True,True,True,True,True,False,False,2.000000,-0.617481,3.000000,1.000000,COMPLETE,2025-04-27 18:32:30.338485,2025-04-27 18:32:32.018632,1.680147
46,0.333333,2.300000,2.500000,60.000000,True,True,False,0.100000,False,4110,54.400000,8.900000,9,4.000000,0.003500,plus,9,55.000000,67.000000,7.000000,19.000000,,4.000000,5.100000,6.700000,,7.810000,True,False,True,True,True,False,True,False,False,4.000000,-2.726329,6.000000,2.000000,COMPLETE,2025-04-27 18:32:51.223922,2025-04-27 18:32:52.751172,1.527250
47,0.303030,,2.900000,53.000000,True,True,True,0.200000,,1470,17.200000,2.200000,15,3.700000,0.005000,both,12,75.000000,83.000000,10.000000,26.000000,0.118000,,,,0.200000,,True,False,True,False,True,False,True,True,True,23.000000,-10.374606,33.000000,10.000000,COMPLETE,2025-04-27 18:32:52.823506,2025-04-27 18:32:55.580519,2.757013
38,0.284091,,1.700000,43.000000,True,True,False,0.050000,,3000,29.800000,8.300000,13,1.700000,0.002000,plus,18,65.000000,86.000000,8.000000,25.000000,0.053000,,,,0.300000,,True,False,True,True,False,False,False,True,False,63.000000,-6.135073,88.000000,25.000000,COMPLETE,2025-04-27 18:32:36.437996,2025-04-27 18:32:37.751641,1.313645
67,0.266949,4.300000,2.100000,46.000000,True,True,False,0.200000,True,3630,41.000000,1.500000,6,3.700000,0.012500,both,7,66.000000,97.000000,3.000000,19.000000,,2.300000,3.200000,4.300000,,0.710000,False,True,True,True,True,False,True,False,False,173.000000,-12.739065,236.000000,63.000000,COMPLETE,2025-04-27 18:33:58.307209,2025-04-27 18:34:02.982771,4.675562
4,0.206897,,2.600000,23.000000,True,False,False,-0.350000,,3030,14.700000,7.700000,11,0.100000,0.023500,minus,51,56.000000,77.000000,37.000000,34.000000,0.029000,,,,0.217000,,True,True,True,True,False,False,True,True,True,23.000000,-5.763744,29.000000,6.000000,COMPLETE,2025-04-27 18:31:35.232801,2025-04-27 18:31:36.639714,1.406913
5,0.189189,1.600000,1.800000,45.000000,True,False,True,0.400000,False,1230,18.100000,1.600000,10,0.700000,0.013500,both,23,80.000000,95.000000,14.000000,48.000000,,4.700000,14.200000,25.100000,,0.310000,True,True,True,False,False,False,True,False,True,480.000000,4.104115,592.000000,112.000000,COMPLETE,2025-04-27 18:31:36.762503,2025-04-27 18:31:39.002263,2.239760
36,0.111111,,2.700000,28.000000,True,True,False,0.400000,,270,18.700000,0.700000,10,1.400000,0.013000,minus,6,56.000000,89.000000,4.000000,35.000000,0.100000,,,,0.132000,,True,False,False,True,True,False,True,True,False,16.000000,-9.249037,18.000000,2.000000,COMPLETE,2025-04-27 18:32:32.079864,2025-04-27 18:32:34.079982,2.000118
3,0.000000,4.200000,1.200000,10.000000,True,True,True,0.500000,True,3420,47.100000,8.100000,9,4.300000,0.012000,plus,39,55.000000,86.000000,24.000000,46.000000,,5.300000,10.900000,21.700000,,1.310000,True,False,True,False,True,True,False,False,True,3.000000,-1.042107,3.000000,0.000000,COMPLETE,2025-04-27 18:31:33.730238,2025-04-27 18:31:35.171088,1.440850
0,0.000000,1.700000,0.700000,16.000000,True,True,True,-0.150000,False,690,13.300000,7.300000,6,4.500000,0.014000,both,37,53.000000,68.000000,23.000000,27.000000,,4.900000,10.100000,12.500000,,4.010000,True,True,False,True,True,True,True,False,False,2.000000,-1.238615,2.000000,0.000000,COMPLETE,2025-04-27 18:31:28.515184,2025-04-27 18:31:30.378545,1.863361
9,0.000000,,0.300000,14.000000,False,False,False,-0.250000,,1860,44.400000,12.900000,12,2.700000,0.011000,minus,57,76.000000,74.000000,21.000000,35.000000,0.093000,,,,0.006000,,True,True,False,True,False,True,True,True,True,0.000000,0.000000,0.000000,0.000000,COMPLETE,2025-04-27 18:31:46.549791,2025-04-27 18:31:47.884617,1.334826
7,0.000000,4.600000,1.500000,26.000000,False,False,True,-0.500000,True,810,30.000000,9.500000,5,4.700000,0.018000,minus,21,79.000000,79.000000,31.000000,13.000000,,1.000000,7.900000,16.100000,,1.510000,False,False,False,False,False,False,False,False,True,0.000000,0.000000,0.000000,0.000000,COMPLETE,2025-04-27 18:31:43.118757,2025-04-27 18:31:44.237862,1.119105
68,0.000000,,2.700000,43.000000,True,True,False,0.500000,,3930,28.800000,5.800000,12,4.500000,0.008000,plus,3,58.000000,94.000000,7.000000,23.000000,0.010000,,,,0.203000,,True,False,True,True,True,False,False,True,False,4.000000,-1.079600,4.000000,0.000000,COMPLETE,2025-04-27 18:34:03.971694,2025-04-27 18:34:06.202240,2.230546
51,0.000000,3.600000,2.900000,57.000000,False,True,False,0.150000,True,4320,47.100000,3.100000,4,3.200000,0.002000,plus,1,67.000000,90.000000,8.000000,16.000000,,2.800000,3.800000,5.400000,,7.410000,True,False,True,True,True,False,True,False,False,0.000000,0.000000,0.000000,0.000000,COMPLETE,2025-04-27 18:33:03.804849,2025-04-27 18:33:06.339594,2.534745
100,0.000000,,1.900000,46.000000,False,True,False,0.350000,,3930,6.700000,1.200000,12,5.000000,0.005500,minus,10,56.000000,95.000000,5.000000,17.000000,0.074000,,,,0.077000,,True,False,True,False,True,False,False,True,False,0.000000,0.000000,0.000000,0.000000,COMPLETE,2025-04-27 18:35:08.916176,2025-04-27 18:35:10.216305,1.300129
97,0.000000,4.800000,1.800000,42.000000,False,True,False,0.400000,False,4320,2.500000,1.000000,12,4.100000,0.009000,minus,14,54.000000,95.000000,5.000000,18.000000,,2.300000,3.400000,4.400000,,6.110000,True,False,False,False,True,False,True,False,False,0.000000,0.000000,0.000000,0.000000,COMPLETE,2025-04-27 18:35:05.462267,2025-04-27 18:35:06.597447,1.135180
110,,,,,,,,,,4140,1.800000,1.300000,13,4.500000,,minus,11,56.000000,,,,,,,,,,,,,,,,,,,,,,,FAIL,2025-04-27 18:35:23.107154,2025-04-27 18:35:23.238891,0.131737
