date,time_start,time_end,open,high,low,close,volume,change,change_percent
2024-07-15,05:00,04:59,3335.2,3497.74,3325.69,3458.3,2378669.434,123.10000000000036,3.690933077476624
2024-07-16,05:00,04:59,3458.3,3517.14,3345.0,3494.62,2984133.194,36.31999999999971,1.0502269901396555
2024-07-17,05:00,04:59,3494.62,3514.94,3374.53,3416.53,2094802.844,-78.08999999999969,-2.2345777223274546
2024-07-18,05:00,04:59,3416.53,3487.99,3364.62,3419.67,1971668.875,3.1399999999998727,0.09190611526899728
2024-07-19,05:00,04:59,3419.68,3539.38,3375.25,3506.28,2223387.879,86.60000000000036,2.5324006924624634
2024-07-20,05:00,04:59,3506.28,3538.38,3478.84,3503.2,963985.335,-3.080000000000382,-0.08784238566230824
2024-07-21,05:00,04:59,3503.2,3562.33,3408.13,3514.57,1955330.1260000002,11.370000000000346,0.324560401918256
2024-07-22,05:00,04:59,3514.58,3515.69,3421.0,3453.62,2059364.3159999999,-60.960000000000036,-1.7344889005229656
2024-07-23,05:00,04:59,3453.62,3540.94,3384.61,3438.59,3910244.013,-15.029999999999745,-0.4351955339614592
2024-07-24,05:00,04:59,3438.6,3471.32,3125.37,3181.89,3493390.517,-256.71000000000004,-7.465538300471124
2024-07-25,05:00,04:59,3181.9,3258.35,3085.57,3253.03,3316927.34,71.13000000000011,2.2354568025393666
2024-07-26,05:00,04:59,3253.03,3284.93,3218.0,3253.01,1815954.538,-0.01999999999998181,-0.0006148114219660381
2024-07-27,05:00,04:59,3253.01,3326.9,3188.89,3216.91,2205118.031,-36.100000000000364,-1.1097414394668432
2024-07-28,05:00,04:59,3216.9,3366.0,3195.84,3342.8,1473232.3250000002,125.90000000000009,3.913705741552429
2024-07-29,05:00,04:59,3342.79,3396.07,3256.56,3317.26,2728506.642,-25.529999999999745,-0.7637332886600637
2024-07-30,05:00,04:59,3317.26,3365.0,3230.1,3277.05,1843386.4,-40.210000000000036,-1.2121449630116432
2024-07-31,05:00,04:59,3277.05,3348.74,3137.64,3146.0,2527318.112,-131.05000000000018,-3.999023512000127
2024-08-01,05:00,04:59,3146.0,3219.2,3078.4,3166.87,2615801.852,20.86999999999989,0.6633820724729781
2024-08-02,05:00,04:59,3166.87,3181.99,2912.5,2964.02,3603269.251,-202.8499999999999,-6.405378180979955
2024-08-03,05:00,04:59,2964.02,3016.61,2855.0,2900.72,2306441.3299999996,-63.30000000000018,-2.1356131200194395
2024-08-04,05:00,04:59,2900.71,2924.8,2112.0,2335.0,8454969.436999999,-565.71,-19.50246663747841
2024-08-05,05:00,04:59,2335.0,2545.91,2150.37,2498.47,9406540.793,163.4699999999998,7.000856531049242
2024-08-06,05:00,04:59,2498.48,2558.24,2412.35,2515.29,4425202.854,16.809999999999945,0.6728090679132891
2024-08-07,05:00,04:59,2515.29,2549.85,2307.0,2421.37,4888170.914000001,-93.92000000000007,-3.733963081791764
2024-08-08,05:00,04:59,2421.37,2723.77,2407.08,2658.22,4530779.826,236.8499999999999,9.781652535548053
2024-08-09,05:00,04:59,2658.22,2702.88,2551.23,2598.42,2907639.761,-59.79999999999973,-2.249625689371073
2024-08-10,05:00,04:59,2598.42,2674.29,2587.85,2643.25,1242103.15,44.82999999999993,1.725279208134171
2024-08-11,05:00,04:59,2643.25,2720.78,2506.13,2537.81,2804511.493,-105.44000000000005,-3.989028657902206
2024-08-12,05:00,04:59,2537.8,2749.97,2514.68,2658.61,4331270.126,120.80999999999995,4.760422413113718
2024-08-13,05:00,04:59,2658.59,2733.32,2610.04,2719.36,2643858.842,60.76999999999998,2.2857981110287775
2024-08-14,05:00,04:59,2719.36,2788.88,2631.0,2651.09,3147377.993,-68.26999999999998,-2.510517180513061
2024-08-15,05:00,04:59,2651.08,2674.17,2513.65,2595.62,3235486.075,-55.460000000000036,-2.091977609125339
2024-08-16,05:00,04:59,2595.61,2630.73,2549.15,2599.74,2434165.519,4.129999999999654,0.15911481308823952
2024-08-17,05:00,04:59,2599.75,2638.36,2588.94,2601.51,982728.493,1.7600000000002183,0.06769881719396935
2024-08-18,05:00,04:59,2601.52,2688.25,2597.51,2635.45,1686194.288,33.929999999999836,1.3042375226790428
2024-08-19,05:00,04:59,2635.45,2676.19,2560.9,2663.35,2220498.7410000004,27.90000000000009,1.0586427365345612
2024-08-20,05:00,04:59,2663.36,2694.96,2552.5,2591.07,2244865.1339999996,-72.28999999999996,-2.714240658416435
2024-08-21,05:00,04:59,2591.07,2663.55,2533.51,2625.14,2558487.107,34.06999999999971,1.314900793880509
2024-08-22,05:00,04:59,2625.14,2652.82,2588.39,2637.39,1500117.047,12.25,0.4666417791051144
2024-08-23,05:00,04:59,2637.39,2798.88,2631.01,2745.0,3279145.938,107.61000000000013,4.08017016823451
2024-08-24,05:00,04:59,2745.0,2819.35,2729.15,2765.89,2174321.019,20.889999999999873,0.7610200364298678
2024-08-25,05:00,04:59,2765.89,2791.66,2715.07,2750.15,1282685.929,-15.739999999999782,-0.5690754151466538
2024-08-26,05:00,04:59,2750.15,2750.15,2665.0,2685.45,1854218.814,-64.70000000000027,-2.3525989491482378
2024-08-27,05:00,04:59,2685.46,2699.11,2388.0,2471.0,4188830.574,-214.46000000000004,-7.985968884287982
2024-08-28,05:00,04:59,2471.0,2554.19,2427.65,2523.82,3311991.0870000003,52.820000000000164,2.137596114933232
2024-08-29,05:00,04:59,2523.81,2594.0,2503.0,2517.71,2157377.1950000003,-6.099999999999909,-0.24169806760413456
2024-08-30,05:00,04:59,2517.71,2552.32,2431.0,2528.13,2543218.9540000004,10.420000000000073,0.4138681579689508
2024-08-31,05:00,04:59,2528.13,2528.76,2475.0,2485.43,950162.3890000001,-42.70000000000027,-1.688995423494847
2024-09-01,05:00,04:59,2485.42,2514.77,2397.23,2434.49,2426706.938,-50.93000000000029,-2.0491506465708125
2024-09-02,05:00,04:59,2434.49,2564.49,2432.0,2517.17,2188976.786,82.68000000000029,3.3961938640125986
2024-09-03,05:00,04:59,2517.18,2524.14,2304.87,2377.3,3005423.921,-139.87999999999965,-5.5570122120785825
2024-09-04,05:00,04:59,2377.3,2489.34,2362.18,2413.24,2581862.344,35.9399999999996,1.5117990998191055
2024-09-05,05:00,04:59,2413.23,2416.62,2346.05,2385.16,2532393.128,-28.070000000000164,-1.163171351259522
2024-09-06,05:00,04:59,2385.16,2409.34,2150.0,2249.43,5402123.4,-135.73000000000002,-5.690603565379263
2024-09-07,05:00,04:59,2249.43,2310.0,2245.22,2296.52,1768773.067,47.090000000000146,2.0934192217584076
2024-09-08,05:00,04:59,2296.53,2333.98,2238.88,2295.81,2047899.784,-0.7200000000002547,-0.03135164792100493
2024-09-09,05:00,04:59,2295.81,2382.51,2271.22,2336.6,2921997.2180000003,40.789999999999964,1.7767149720577906
2024-09-10,05:00,04:59,2336.6,2399.99,2317.48,2332.97,2403818.157,-3.630000000000109,-0.15535393306514206
2024-09-11,05:00,04:59,2332.98,2392.0,2275.8,2363.81,3000199.152,30.829999999999927,1.3214858249963535
2024-09-12,05:00,04:59,2363.81,2372.99,2313.16,2347.03,1852057.275,-16.779999999999745,-0.7098709287125338
2024-09-13,05:00,04:59,2347.02,2463.77,2336.2,2425.12,2389749.131,78.09999999999991,3.327623965709705
2024-09-14,05:00,04:59,2425.12,2429.44,2373.82,2415.76,943684.7300000001,-9.359999999999673,-0.3859602823777658
2024-09-15,05:00,04:59,2415.76,2423.67,2251.06,2280.42,2312507.627,-135.34000000000015,-5.602377719641029
2024-09-16,05:00,04:59,2280.41,2334.9,2262.0,2287.79,2351566.1780000003,7.380000000000109,0.32362601462018276
2024-09-17,05:00,04:59,2287.79,2392.62,2286.54,2322.56,2672160.2399999998,34.76999999999998,1.5198073249730082
2024-09-18,05:00,04:59,2322.56,2418.2,2275.25,2415.48,3317427.1569999997,92.92000000000007,4.0007577845136435
2024-09-19,05:00,04:59,2415.49,2546.64,2403.6,2537.7,3005908.228,122.21000000000004,5.059428935743888
2024-09-20,05:00,04:59,2537.7,2586.91,2515.31,2536.49,2683038.0540000005,-1.2100000000000364,-0.04768097095795549
