trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
187,ML-Guided,,True,0.02,0.036,0.0,1.0,0.1,1.0,False,False,False,long,4.44,25.71,289,12,False,True,True,False,bearish,False,5,149,79,7,1.17,5,29,57,21,83,15,23,3.99,2.25,0.9634,False,36,0.6438,False,11,1.73,True,17,51,8,False,35,32.2,False,True,1.32,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,21.0,0.3809523809523809,6.752314398878479,101.34232762171868,1.0944416255767175,0.3215387808989752,4.731018002646863,0.749999999999982,0.0,4.0,8.0,9.0,0.0,0.0,0.0,19.047619047619047,38.095238095238095,42.85714285714285,0.0,0.0,0.0,"[21, 54, 254]",False,[3.6],[100.0]
188,ML-Guided,,True,0.035,0.018,0.0,1.0,0.1,1.0,False,False,False,both,4.78,24.72,166,1,True,True,True,False,bearish,False,9,54,105,13,2.39,1,7,55,21,81,7,18,3.28,1.49,0.9523,False,36,0.6438,False,11,1.73,True,14,29,13,True,15,25.2,False,True,0.72,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,13.0,0.3846153846153846,-13.73386148871455,71.30600942687735,0.6856798300877309,-1.056450883747273,2.928912773077963,0.749999999999978,0.0,4.0,2.0,6.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,50.0,0.0,0.0,0.0,"[32, 93, 166]",False,[1.8],[100.0]
189,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.043,0.017,0.0,1.0,0.1,1.0,False,False,False,long,3.64,13.52,177,8,False,True,True,False,bullish,False,27,38,159,20,4.33,10,6,56,27,75,18,53,2.39,1.68,0.2174,True,19,0.02,True,46,2.82,True,9,42,19,True,32,20.9,False,True,2.12,True,22,True,26,0.08,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[22, 64, 248]",False,[1.7],[100.0]
190,ML-Guided,,True,0.046,0.02,0.0,1.0,0.1,1.0,False,False,False,long,1.06,38.57,190,6,True,True,True,False,bearish,False,20,143,169,18,4.4,10,25,58,26,90,2,49,1.2,1.16,0.3489,False,36,0.6438,True,29,2.96,True,22,54,10,True,35,16.9,False,True,1.36,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,50.0,0.4,-36.191466249999934,146.38796744172734,0.8435932810650736,-0.7238293249999986,11.23646625,0.7499999999999932,0.0,30.0,20.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,"[10, 53, 266]",False,[2.0],[100.0]
191,ML-Guided,,True,0.018,0.05,0.0,1.0,0.1,1.0,False,False,False,both,4.49,26.18,242,4,False,True,True,False,bearish,False,22,145,192,19,3.38,3,16,74,32,82,4,45,4.94,2.18,0.4703,True,27,0.83,True,32,1.68,False,20,58,13,False,35,32.2,False,False,0.89,False,11,True,28,0.3,5m,5m,CHILLGUYUSDT,20.0,0.5,20.510016249999985,110.36275333036572,1.2653661439355623,1.0255008124999994,4.504983749999999,0.7499999999999892,0.0,10.0,9.0,0.0,0.0,0.0,0.0,52.63157894736842,47.368421052631575,0.0,0.0,0.0,0.0,"[49, 117, 177]",False,[5.0],[100.0]
192,ML-Guided,,True,0.036,0.056,0.0,1.0,0.1,1.0,False,False,False,short,1.88,12.35,133,11,True,True,True,False,bullish,False,23,150,60,10,4.09,5,27,80,39,93,2,18,4.37,2.13,0.2875,True,34,0.05,False,11,1.73,True,25,60,7,True,7,25.3,False,False,0.89,True,6,True,27,0.17,5m,5m,CHILLGUYUSDT,12.0,0.25,-40.23452437500006,160.93809750000025,0.4217873968213641,-3.352877031250005,2.697024375,0.7499999999999848,0.0,9.0,3.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,"[43, 56, 228]",False,[5.6],[100.0]
193,ML-Guided,,True,0.027,0.02,0.0,1.0,0.1,1.0,False,False,False,both,4.49,46.26,436,10,False,True,True,False,bullish,False,4,31,54,20,3.84,4,9,66,36,76,5,43,1.62,1.37,0.1307,True,31,0.52,True,15,1.82,True,22,59,20,True,30,23.9,False,False,0.89,False,11,True,36,0.2,5m,5m,CHILLGUYUSDT,48.0,0.3958333333333333,-39.605342284600304,229.66871877909315,0.8128935798117594,-0.8251112975958397,10.816247657417769,0.7499999999999828,0.0,27.0,14.0,6.0,0.0,0.0,0.0,57.44680851063831,29.78723404255319,12.76595744680851,0.0,0.0,0.0,"[32, 109, 255]",False,[2.0],[100.0]
194,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.035,0.03,0.0,1.0,0.1,1.0,False,False,False,short,4.01,17.14,432,12,True,True,True,False,bearish,False,29,74,157,8,3.75,8,5,56,38,75,7,45,4.15,2.93,0.1566,True,21,0.1,False,11,1.73,True,13,27,8,True,9,24.9,True,True,0.57,True,12,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[29, 64, 168]",False,[3.0],[100.0]
195,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.067,0.033,0.0,1.0,0.1,1.0,False,False,False,short,3.33,19.03,355,10,False,True,True,False,bearish,False,20,145,104,15,3.47,10,20,58,27,94,3,51,3.53,1.51,0.9616,True,12,0.64,True,36,1.56,True,9,29,5,False,35,32.2,True,True,1.19,False,11,True,22,0.09,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[44, 142, 191]",False,[3.3],[100.0]
196,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.02,0.025,0.0,1.0,0.1,1.0,False,False,False,both,3.9,34.26,270,6,False,True,True,False,bearish,False,28,67,187,3,4.31,9,20,55,43,93,22,40,2.71,1.99,0.9094,False,36,0.6438,True,31,2.78,True,8,42,6,True,10,26.6,True,False,0.89,False,11,True,32,-0.25,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[28, 58, 199]",False,[2.5],[100.0]
